Student_ID,Attendance_Rate(%),Study_Hours_Per_Day,Previous_Marks,Assignment_Score,Quiz_Score,Class_Participation(1-10),Sleep_Hours_Per_Day,Stress_Level(1-10),Internet_Access(0/1),Parental_Support(1-5),Final_Score,Result
160,45.8,3.6,56.9,69.2,39.9,3,8.9,10,1,2,47.3,Fail
161,85.8,5.5,66.0,59.9,44.7,1,4.5,7,1,2,55.7,Pass
162,43.0,5.5,91.8,72.3,57.6,9,4.0,2,1,2,63.8,Pass
163,92.9,7.5,83.5,49.3,52.0,10,7.4,6,1,1,65.7,Pass
164,73.0,8.4,73.6,68.9,30.3,2,6.4,6,1,2,62.4,Pass
165,51.9,5.6,65.0,23.6,31.0,6,8.8,9,1,2,42.3,Fail
166,59.7,6.5,41.4,99.2,79.1,5,7.6,9,1,5,57.3,Pass
167,58.0,8.3,55.8,73.9,98.4,10,5.8,1,1,3,72.9,Pass
168,86.6,6.2,80.5,66.7,33.6,10,8.6,7,0,2,61.6,Pass
169,41.9,9.5,37.7,21.5,45.1,3,6.5,4,1,5,46.7,Fail
170,92.4,7.6,34.4,31.0,36.6,6,10.0,8,1,3,46.6,Fail
171,97.4,5.1,67.3,63.7,74.1,5,7.7,4,0,3,61.1,Pass
172,98.4,3.7,50.2,36.6,76.4,6,6.9,9,1,3,53.8,Pass
173,47.3,7.1,56.6,98.4,85.5,3,5.7,5,0,3,61.7,Pass
174,84.8,2.9,88.0,41.7,65.0,5,4.8,10,0,2,50.4,Pass
175,43.0,9.1,45.8,38.6,28.0,6,8.3,2,0,1,54.6,Pass
176,49.5,6.9,91.6,58.1,72.0,5,5.9,1,0,5,59.6,Pass
177,53.9,7.6,89.5,23.0,93.7,7,9.3,3,0,4,61.6,Pass
178,84.9,8.9,50.3,23.0,43.9,10,4.6,6,1,4,55.3,Pass
179,99.3,5.9,64.6,95.1,88.1,8,5.6,2,1,2,73.8,Pass
180,83.1,1.1,53.6,43.6,74.0,4,5.1,7,1,5,44.7,Fail
181,59.7,4.6,36.7,98.5,58.2,4,4.0,7,0,4,49.1,Fail
182,58.1,7.5,30.8,72.3,75.4,1,8.0,8,1,2,44.3,Fail
183,64.3,5.5,92.7,76.3,44.9,2,7.8,5,1,5,64.4,Pass
184,68.7,5.1,99.2,49.9,76.2,8,8.5,4,0,5,72.0,Pass
185,92.4,1.7,61.3,76.3,26.2,10,4.7,9,0,5,50.5,Pass
186,91.3,5.0,77.6,77.4,59.1,9,6.7,1,1,2,69.5,Pass
187,70.8,5.1,34.0,57.0,84.6,1,6.4,1,0,5,53.6,Pass
188,82.0,5.9,34.2,91.5,98.9,8,4.2,7,0,2,60.5,Pass
189,85.9,9.8,75.2,53.6,99.4,7,6.7,7,1,1,69.8,Pass
190,72.4,6.9,54.3,34.3,63.0,9,4.8,4,0,1,48.4,Fail
191,98.7,5.2,80.3,53.9,50.3,4,5.5,6,0,3,62.0,Pass
192,85.9,1.3,76.2,69.2,94.9,1,5.4,2,0,5,64.1,Pass
193,42.0,6.4,79.2,23.9,79.2,7,6.6,9,0,1,54.1,Pass
194,54.0,9.2,70.3,66.2,81.8,6,5.4,3,0,4,69.9,Pass
195,58.0,1.5,96.4,90.4,92.9,7,7.3,1,1,4,67.8,Pass
196,65.0,2.3,56.4,80.4,57.9,4,5.8,3,1,1,49.8,Fail
197,73.7,9.7,69.0,30.7,39.4,4,6.0,2,1,3,63.9,Pass
198,51.4,3.4,77.2,68.2,89.9,4,8.8,10,0,4,55.7,Pass
199,52.5,9.2,51.2,92.7,36.9,4,9.8,2,1,2,60.3,Pass
200,63.8,3.2,52.5,42.6,57.3,6,5.9,6,1,4,43.3,Fail
201,45.9,9.8,62.9,87.2,93.1,6,5.9,1,0,2,68.9,Pass
202,75.0,7.5,50.7,35.7,38.4,10,9.0,8,1,3,55.7,Pass
203,85.8,5.4,80.6,79.2,56.9,6,5.0,9,1,2,67.0,Pass
204,78.5,1.5,32.4,87.7,95.6,1,8.6,7,0,2,47.4,Fail
205,44.1,2.4,45.3,56.5,24.8,10,9.5,8,0,1,35.6,Fail
206,41.0,7.5,67.5,42.9,60.2,7,8.8,3,0,1,51.6,Pass
207,71.5,3.2,73.4,40.2,48.4,7,4.5,7,1,5,52.1,Pass
208,58.0,8.5,35.6,99.3,72.0,1,4.6,7,1,5,62.5,Pass
209,68.6,6.7,79.2,26.6,87.6,6,7.4,2,0,2,60.3,Pass
210,93.3,5.3,33.3,25.9,94.0,9,7.4,1,0,3,61.3,Pass
211,40.9,2.9,40.1,85.7,85.7,2,5.8,10,0,5,44.4,Fail
212,93.8,4.0,82.9,31.2,99.1,2,7.0,6,0,1,55.3,Pass
213,66.2,8.5,53.8,81.5,96.4,7,9.8,6,0,3,65.9,Pass
214,53.7,6.0,56.3,34.9,66.9,7,4.5,10,1,2,44.3,Fail
215,82.8,1.7,40.8,76.9,70.7,7,5.9,2,0,1,54.8,Pass
216,85.7,1.9,36.1,54.5,64.6,9,6.4,1,0,3,49.1,Fail
217,73.3,6.4,84.9,89.1,21.0,7,6.3,2,0,5,59.8,Pass
218,50.2,3.4,48.8,31.7,33.4,5,6.5,8,0,3,35.3,Fail
219,55.1,3.2,73.8,67.5,35.6,2,4.8,1,1,3,53.0,Pass
220,91.7,5.0,60.1,85.9,72.1,10,4.8,6,0,4,61.5,Pass
221,58.9,9.7,97.8,43.3,75.6,8,9.8,4,1,4,70.4,Pass
222,61.9,9.4,44.0,99.8,34.4,9,4.2,8,0,4,63.1,Pass
223,87.9,8.5,34.8,87.8,83.6,8,4.8,5,0,3,61.3,Pass
224,87.3,1.7,99.3,58.3,52.1,9,9.5,7,0,3,56.8,Pass
225,82.1,8.3,71.6,93.2,28.7,4,7.9,6,0,5,73.3,Pass
226,80.6,4.6,82.7,97.3,54.4,1,4.6,4,0,4,64.4,Pass
227,62.4,5.2,77.6,75.2,32.1,1,6.9,5,1,1,60.5,Pass
228,48.5,3.8,61.9,36.5,58.6,8,4.6,8,1,1,49.6,Fail
229,58.0,8.3,38.1,87.9,71.8,3,9.6,4,0,5,60.4,Pass
230,97.5,3.1,58.4,34.8,71.2,7,6.4,10,0,4,54.7,Pass
231,75.5,4.5,79.3,36.5,80.2,2,7.5,9,0,3,51.1,Pass
232,55.7,8.8,66.9,71.1,67.8,10,6.4,2,1,3,69.5,Pass
233,90.7,6.6,87.0,76.5,43.8,10,7.5,3,1,1,72.1,Pass
234,62.4,2.3,57.2,67.7,66.0,7,5.1,9,0,5,49.2,Fail
235,50.0,3.6,43.1,87.4,69.6,6,9.7,8,0,2,51.8,Pass
236,70.3,5.5,77.9,53.3,87.2,8,5.0,10,0,2,49.8,Fail
237,57.5,3.5,67.6,33.5,56.6,8,7.3,2,0,3,49.7,Fail
238,62.0,8.4,32.9,77.5,63.7,7,4.6,4,1,1,51.3,Pass
239,67.0,4.1,87.2,55.1,99.5,4,5.3,10,1,5,58.6,Pass
240,48.4,2.9,44.5,24.7,48.1,5,7.6,3,1,3,39.1,Fail
241,57.4,3.4,90.1,98.8,74.3,2,4.8,7,0,3,59.0,Pass
242,92.0,3.2,79.8,86.3,80.9,7,6.9,10,1,4,65.6,Pass
243,62.5,1.7,85.6,81.5,52.2,5,8.2,6,1,4,57.7,Pass
244,86.4,7.6,81.2,56.7,73.1,6,9.1,9,1,2,67.8,Pass
245,98.1,8.4,64.6,45.8,42.7,9,7.5,10,1,3,67.7,Pass
246,42.8,6.6,88.6,21.3,94.4,3,6.6,1,1,2,53.8,Pass
247,99.7,9.2,91.8,44.1,90.0,5,4.6,6,1,1,68.4,Pass
248,49.9,4.6,51.4,76.0,38.7,2,8.2,1,0,4,53.3,Pass
249,44.7,6.3,66.4,55.6,20.6,6,8.9,7,0,4,50.3,Pass
250,83.8,1.9,51.9,90.5,31.0,3,7.8,3,0,5,53.8,Pass
251,73.8,6.5,41.5,48.1,37.0,3,9.5,10,1,2,50.0,Pass
252,85.1,6.3,56.9,97.1,45.2,3,5.5,2,0,5,62.9,Pass
253,76.1,7.5,49.9,95.3,22.1,5,5.2,10,0,4,54.4,Pass
254,93.9,9.6,64.6,29.0,60.0,10,4.4,1,1,3,68.3,Pass
255,47.9,8.7,69.8,49.2,74.6,8,9.7,2,0,5,63.4,Pass
256,42.4,1.5,85.3,60.5,70.3,9,8.6,7,1,1,53.6,Pass
257,78.4,5.8,40.7,26.7,26.3,4,9.8,3,1,4,44.8,Fail
258,79.0,6.8,51.7,55.0,96.3,4,4.3,2,1,1,58.1,Pass
259,67.2,6.5,51.7,79.3,79.3,2,4.1,3,0,2,52.9,Pass
260,71.0,8.4,48.1,49.7,80.0,5,8.4,2,0,3,58.8,Pass
261,88.4,3.4,34.5,77.0,66.1,2,7.0,9,1,1,47.4,Fail
262,62.1,3.3,37.2,65.9,77.8,4,8.4,1,0,1,48.6,Fail
263,54.7,5.2,56.8,32.0,94.5,1,7.3,7,0,3,46.3,Fail
264,59.2,8.4,70.0,29.6,73.9,1,5.1,9,0,4,57.1,Pass
265,44.1,5.2,49.8,87.6,46.2,9,6.7,6,0,3,48.0,Fail
266,77.4,5.2,71.4,59.5,81.8,4,8.4,9,0,2,56.2,Pass
267,40.4,4.7,46.3,47.7,87.2,1,9.7,1,1,3,52.2,Pass
268,54.3,5.4,34.2,99.8,76.9,2,4.3,4,1,3,56.0,Pass
269,67.5,7.7,70.7,60.4,71.0,7,4.4,10,0,4,56.8,Pass
270,57.5,8.7,94.8,51.4,86.6,6,5.9,5,0,1,62.4,Pass
271,96.6,2.2,83.9,28.7,28.5,8,6.8,7,0,5,49.2,Fail
272,67.1,5.2,89.7,27.2,84.6,5,9.0,10,0,2,58.5,Pass
273,90.2,4.0,36.4,39.9,48.5,9,4.3,5,1,2,53.1,Pass
274,67.1,7.7,47.5,57.0,84.3,3,4.7,1,0,2,56.2,Pass
275,51.9,4.6,78.0,95.0,26.7,10,5.6,2,0,1,58.4,Pass
276,88.6,1.8,89.3,84.7,29.8,8,4.3,10,1,4,63.8,Pass
277,69.8,4.4,59.9,48.3,92.7,5,5.7,3,0,5,53.3,Pass
278,57.7,4.7,68.5,24.9,42.4,3,6.5,9,0,5,41.0,Fail
279,87.7,9.9,84.7,48.7,63.6,8,6.1,10,1,4,69.6,Pass
280,75.8,1.3,86.7,42.5,84.7,8,7.2,10,0,2,53.4,Pass
281,46.0,6.9,48.7,85.3,93.4,1,8.6,4,1,3,66.9,Pass
282,50.4,3.1,52.3,79.0,48.7,10,4.2,6,0,5,44.3,Fail
283,96.9,8.5,86.7,97.6,63.4,3,6.9,2,0,2,74.7,Pass
284,68.7,4.0,73.0,84.5,47.3,3,9.5,6,0,1,55.0,Pass
285,48.9,7.3,39.9,28.9,62.1,6,9.8,6,1,5,51.2,Pass
286,48.2,2.4,96.4,83.3,96.9,6,5.0,9,1,2,61.0,Pass
287,79.9,8.3,56.5,78.7,43.6,3,8.4,10,1,5,65.6,Pass
288,95.3,9.7,45.5,65.2,94.9,3,6.0,2,0,3,67.5,Pass
289,98.9,2.5,92.0,27.1,76.7,6,6.7,5,0,2,57.3,Pass
290,87.2,7.5,33.4,55.1,53.6,3,9.3,8,1,3,52.7,Pass
291,72.8,1.9,63.6,89.1,72.1,4,5.0,2,0,3,57.7,Pass
292,46.3,4.1,92.2,32.9,26.0,2,6.0,10,1,1,44.1,Fail
293,65.9,6.9,72.5,54.7,24.3,6,5.2,4,1,5,56.4,Pass
294,55.9,3.5,46.6,24.0,65.7,8,4.9,6,0,4,36.2,Fail
295,45.3,8.4,73.8,58.4,27.8,4,5.0,5,0,4,53.0,Pass
296,63.8,5.4,76.3,27.3,63.5,3,6.2,7,1,2,49.3,Fail
297,66.7,3.4,62.6,38.1,41.5,1,4.9,2,0,3,45.1,Fail
298,85.4,3.0,34.3,51.0,61.8,9,8.1,8,0,4,45.5,Fail
299,57.9,4.6,89.8,22.8,65.7,9,8.8,10,0,1,53.8,Pass
300,96.9,2.5,44.8,35.4,23.4,2,9.9,7,0,2,42.0,Fail
301,90.0,3.3,93.8,93.1,25.4,7,7.3,9,1,3,58.4,Pass
302,40.7,7.3,71.1,82.5,29.0,3,4.9,10,0,1,47.1,Fail
303,73.8,1.9,50.0,62.9,47.5,7,5.6,8,1,1,48.9,Fail
304,77.1,7.1,58.1,51.7,90.3,4,4.3,8,1,3,61.5,Pass
305,41.2,8.4,51.2,42.4,59.3,2,9.8,4,0,3,51.7,Pass
306,89.5,3.4,59.2,71.6,35.0,4,9.5,7,1,5,56.8,Pass
307,92.0,8.4,66.1,32.7,44.9,9,6.4,9,0,2,59.6,Pass
308,90.2,3.2,62.0,93.4,76.4,5,6.2,8,1,1,67.2,Pass
309,80.9,3.2,64.2,55.7,96.8,8,7.5,6,1,2,61.6,Pass
310,89.9,1.8,31.9,24.0,88.3,4,9.1,4,0,3,43.3,Fail
311,79.1,5.6,90.5,97.4,74.6,8,9.5,3,0,2,72.4,Pass
312,58.3,9.7,75.0,53.9,50.1,6,6.8,4,1,3,68.3,Pass
313,80.6,8.4,57.8,28.2,60.9,6,7.4,10,1,3,55.1,Pass
314,60.2,3.5,52.8,42.2,72.5,5,5.1,9,0,1,39.2,Fail
315,88.3,8.2,72.0,72.8,74.5,1,7.9,5,1,4,65.2,Pass
316,75.0,10.0,87.1,47.5,77.1,9,7.8,8,1,5,74.4,Pass
317,58.0,2.5,76.0,64.7,43.5,8,4.8,5,0,3,48.5,Fail
318,53.4,8.8,59.4,90.9,49.7,10,5.8,2,1,1,62.9,Pass
319,92.0,6.3,96.1,25.7,91.2,9,4.7,7,1,4,73.5,Pass
320,48.2,2.8,58.6,65.6,92.5,8,4.9,3,0,4,53.2,Pass
321,60.0,9.9,51.9,24.6,56.2,4,8.6,3,0,4,54.1,Pass
322,47.8,4.9,60.1,54.3,58.2,1,4.2,4,1,1,41.8,Fail
323,93.5,7.8,67.2,21.4,20.3,4,5.4,6,1,2,57.4,Pass
324,58.4,1.6,33.2,95.9,56.5,9,7.6,6,1,2,52.0,Pass
325,60.6,9.1,55.1,35.1,95.8,7,4.1,4,0,2,55.6,Pass
326,50.1,4.3,75.5,23.0,90.1,5,8.6,10,0,5,43.8,Fail
327,99.7,7.0,75.7,21.6,75.2,7,6.7,2,1,4,66.2,Pass
